Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008
"36029000110","14000US36029000110","Census Tract 1.10, Erie County, New York","Census Tract 1.10, Erie County, New York","ny","140","00","ACSSF","0010995",,,,,"36","029",,,,"000110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755,295,589,699,131,41,0,0
"36029000200","14000US36029000200","Census Tract 2, Erie County, New York","Census Tract 2, Erie County, New York","ny","140","00","ACSSF","0010996",,,,,"36","029",,,,"000200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2897,688,1113,784,216,68,28,0
"36029000500","14000US36029000500","Census Tract 5, Erie County, New York","Census Tract 5, Erie County, New York","ny","140","00","ACSSF","0010997",,,,,"36","029",,,,"000500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455,262,687,354,72,63,17,0
"36029000600","14000US36029000600","Census Tract 6, Erie County, New York","Census Tract 6, Erie County, New York","ny","140","00","ACSSF","0010998",,,,,"36","029",,,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3614,438,1413,1194,369,152,48,0
"36029000700","14000US36029000700","Census Tract 7, Erie County, New York","Census Tract 7, Erie County, New York","ny","140","00","ACSSF","0010999",,,,,"36","029",,,,"000700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2884,173,816,989,609,239,50,8
"36029000800","14000US36029000800","Census Tract 8, Erie County, New York","Census Tract 8, Erie County, New York","ny","140","00","ACSSF","0011000",,,,,"36","029",,,,"000800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3425,395,998,1187,559,256,10,20
"36029000900","14000US36029000900","Census Tract 9, Erie County, New York","Census Tract 9, Erie County, New York","ny","140","00","ACSSF","0011001",,,,,"36","029",,,,"000900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533,220,531,558,170,44,10,0
"36029001000","14000US36029001000","Census Tract 10, Erie County, New York","Census Tract 10, Erie County, New York","ny","140","00","ACSSF","0011002",,,,,"36","029",,,,"001000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3889,654,1610,1310,233,64,18,0
"36029001100","14000US36029001100","Census Tract 11, Erie County, New York","Census Tract 11, Erie County, New York","ny","140","00","ACSSF","0011003",,,,,"36","029",,,,"001100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1754,331,629,511,177,101,0,5
"36029001402","14000US36029001402","Census Tract 14.02, Erie County, New York","Census Tract 14.02, Erie County, New York","ny","140","00","ACSSF","0011004",,,,,"36","029",,,,"001402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2503,659,762,834,219,29,0,0
