Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008
36029000110,14000US36029000110,"Census Tract 1.10, Erie County, New York","Census Tract 1.10, Erie County, New York",NY,140,0,ACSSF,10995,,36,29,110,1649,281,481,683,162,42,0,0
36029000200,14000US36029000200,"Census Tract 2, Erie County, New York","Census Tract 2, Erie County, New York",NY,140,0,ACSSF,10996,,36,29,200,2938,607,1283,734,205,86,22,1
36029000500,14000US36029000500,"Census Tract 5, Erie County, New York","Census Tract 5, Erie County, New York",NY,140,0,ACSSF,10997,,36,29,500,1513,333,652,393,82,53,0,0
36029000600,14000US36029000600,"Census Tract 6, Erie County, New York","Census Tract 6, Erie County, New York",NY,140,0,ACSSF,10998,,36,29,600,3496,371,1266,1335,343,138,43,0
36029000700,14000US36029000700,"Census Tract 7, Erie County, New York","Census Tract 7, Erie County, New York",NY,140,0,ACSSF,10999,,36,29,700,2891,148,955,1016,463,226,66,17
36029000800,14000US36029000800,"Census Tract 8, Erie County, New York","Census Tract 8, Erie County, New York",NY,140,0,ACSSF,11000,,36,29,800,3508,414,1080,1202,562,210,31,9
36029000900,14000US36029000900,"Census Tract 9, Erie County, New York","Census Tract 9, Erie County, New York",NY,140,0,ACSSF,11001,,36,29,900,1526,219,433,630,184,39,10,11
36029001000,14000US36029001000,"Census Tract 10, Erie County, New York","Census Tract 10, Erie County, New York",NY,140,0,ACSSF,11002,,36,29,1000,3700,611,1446,1289,227,94,33,0
36029001100,14000US36029001100,"Census Tract 11, Erie County, New York","Census Tract 11, Erie County, New York",NY,140,0,ACSSF,11003,,36,29,1100,1771,323,694,487,182,85,0,0
36029001402,14000US36029001402,"Census Tract 14.02, Erie County, New York","Census Tract 14.02, Erie County, New York",NY,140,0,ACSSF,11004,,36,29,1402,2419,616,776,781,200,46,0,0
36029001500,14000US36029001500,"Census Tract 15, Erie County, New York","Census Tract 15, Erie County, New York",NY,140,0,ACSSF,11005,,36,29,1500,941,149,422,301,69,0,0,0
36029001600,14000US36029001600,"Census Tract 16, Erie County, New York","Census Tract 16, Erie County, New York",NY,140,0,ACSSF,11006,,36,29,1600,1370,437,432,406,51,11,33,0
36029001700,14000US36029001700,"Census Tract 17, Erie County, New York","Census Tract 17, Erie County, New York",NY,140,0,ACSSF,11007,,36,29,1700,1358,459,472,312,81,27,0,7
36029001900,14000US36029001900,"Census Tract 19, Erie County, New York","Census Tract 19, Erie County, New York",NY,140,0,ACSSF,11008,,36,29,1900,2259,484,851,596,233,83,12,0
36029002300,14000US36029002300,"Census Tract 23, Erie County, New York","Census Tract 23, Erie County, New York",NY,140,0,ACSSF,11009,,36,29,2300,2039,301,1106,458,103,71,0,0
36029002400,14000US36029002400,"Census Tract 24, Erie County, New York","Census Tract 24, Erie County, New York",NY,140,0,ACSSF,11010,,36,29,2400,2768,719,1041,740,141,114,13,0
36029002502,14000US36029002502,"Census Tract 25.02, Erie County, New York","Census Tract 25.02, Erie County, New York",NY,140,0,ACSSF,11011,,36,29,2502,1395,251,490,319,186,143,0,6
36029002702,14000US36029002702,"Census Tract 27.02, Erie County, New York","Census Tract 27.02, Erie County, New York",NY,140,0,ACSSF,11012,,36,29,2702,1538,388,479,579,64,8,11,9
36029002800,14000US36029002800,"Census Tract 28, Erie County, New York","Census Tract 28, Erie County, New York",NY,140,0,ACSSF,11013,,36,29,2800,1366,355,447,481,52,31,0,0
